time,driving_policy
0.000,A car is close ahead on the left. Slow down and keep safe distance.
0.040,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
0.080,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
0.120,A car is close ahead on the left. Slow down and keep safe distance.
0.160,A car is close ahead on the left. Slow down and keep safe distance.
0.200,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
0.240,A car is close ahead on the left. Slow down and keep safe distance.
0.280,A car is close ahead on the left. Slow down and keep safe distance.
0.320,A car is close ahead on the left. Slow down and keep safe distance.
0.360,A car is close ahead on the left. Slow down and keep safe distance.
0.400,A car is close ahead on the left. Slow down and keep safe distance.
0.440,A car is close ahead on the left. Slow down and keep safe distance.
0.480,A car is close ahead on the left. Slow down and keep safe distance.
0.520,A car is close ahead on the left. Slow down and keep safe distance.
0.560,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
0.600,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
0.640,A car is close ahead on the left. Slow down and keep safe distance.
0.680,A car is close ahead on the left. Slow down and keep safe distance.
0.720,A car is close ahead on the left. Slow down and keep safe distance.
0.760,A car is close ahead on the left. Slow down and keep safe distance.
0.800,A car is close ahead on the left. Slow down and keep safe distance.
0.840,A car is close ahead. Slow down and keep safe distance.
0.880,A car is close ahead on the left. Slow down and keep safe distance.
0.920,A car is close ahead on the left. Slow down and keep safe distance.
0.960,A car is close ahead on the left. Slow down and keep safe distance.
1.000,A car is close ahead on the left. Slow down and keep safe distance.
1.040,A car is close ahead on the left. Slow down and keep safe distance.
1.080,A car is close ahead on the left. Slow down and keep safe distance.
1.120,A car is close ahead on the left. Slow down and keep safe distance.
1.160,A car is close ahead on the left. Slow down and keep safe distance.
1.200,A car is close ahead on the left. Slow down and keep safe distance.
1.240,A car is close ahead on the left. Slow down and keep safe distance.
1.280,A car is close ahead on the left. Slow down and keep safe distance.
1.320,A car is close ahead on the left. Slow down and keep safe distance.
1.360,A car is close ahead on the left. Slow down and keep safe distance.
1.400,A car is close ahead on the left. Slow down and keep safe distance.
1.440,A car is close ahead on the left. Slow down and keep safe distance.
1.480,A car is close ahead on the left. Slow down and keep safe distance.
1.520,A car is close ahead on the left. Slow down and keep safe distance.
1.560,A car is close ahead on the left. Slow down and keep safe distance.
1.600,A car is close ahead on the left. Slow down and keep safe distance.
1.640,A car is close ahead on the left. Slow down and keep safe distance.
1.680,A car is close ahead on the left. Slow down and keep safe distance.
1.720,A car is close ahead on the left. Slow down and keep safe distance.
1.760,A car is close ahead on the left. Slow down and keep safe distance.
1.800,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
1.840,A car is close ahead on the left. Slow down and keep safe distance.
1.880,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
1.920,A car is close ahead on the left. Slow down and keep safe distance.
1.960,A car is close ahead on the left. Slow down and keep safe distance.
2.000,A car is close ahead on the left. Slow down and keep safe distance.
2.040,A car is close ahead. Slow down and keep safe distance.
2.080,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
2.120,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
2.160,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
2.200,A car is close ahead on the left. Slow down and keep safe distance.
2.240,A car is close ahead. Slow down and keep safe distance.
2.280,A car is close ahead on the left. Slow down and keep safe distance.
2.320,A car is close ahead on the left. Slow down and keep safe distance.
2.360,A car is close ahead on the left. Slow down and keep safe distance.
2.400,A car is close ahead on the left. Slow down and keep safe distance.
2.440,A car is close ahead on the left. Slow down and keep safe distance.
2.480,A car is close ahead on the left. Slow down and keep safe distance.
2.520,A car is close ahead on the left. Slow down and keep safe distance.
2.560,A car is close ahead on the left. Slow down and keep safe distance.
2.600,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
2.640,A car is close ahead on the left. Slow down and keep safe distance.
2.680,A car is close ahead. Slow down and keep safe distance.
2.720,A car is close ahead. Slow down and keep safe distance.
2.760,A car is close ahead. Slow down and keep safe distance.
2.800,A car is close ahead. Slow down and keep safe distance.
2.840,A car is close ahead. Slow down and keep safe distance.
2.880,A car is close ahead. Slow down and keep safe distance.
2.920,A car is close ahead. Slow down and keep safe distance.
2.960,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
3.000,A car is close ahead. Slow down and keep safe distance.
3.040,A car is close ahead. Slow down and keep safe distance.
3.080,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
3.120,A car is close ahead on the left. Slow down and keep safe distance.
3.160,A car is close ahead on the left. Slow down and keep safe distance.
3.200,A car is close ahead on the left. Slow down and keep safe distance.
3.240,A car is close ahead on the left. Slow down and keep safe distance.
3.280,A car is close ahead on the left. Slow down and keep safe distance.
3.320,A car is close ahead on the left. Slow down and keep safe distance.
3.360,A car is close ahead on the left. Slow down and keep safe distance.
3.400,A car is close ahead on the left. Slow down and keep safe distance.
3.440,A car is close ahead on the left. Slow down and keep safe distance.
3.480,A car is close ahead on the left. Slow down and keep safe distance.
3.520,A car is close ahead on the left. Slow down and keep safe distance.
3.560,A car is close ahead on the left. Slow down and keep safe distance.
3.600,A car is close ahead on the left. Slow down and keep safe distance.
3.640,A car is close ahead on the left. Slow down and keep safe distance.
3.680,A car is close ahead on the left. Slow down and keep safe distance.
3.720,A car is close ahead on the left. Slow down and keep safe distance.
3.760,A car is close ahead on the left. Slow down and keep safe distance.
3.800,A car is close ahead on the left. Slow down and keep safe distance.
3.840,A car is close ahead on the left. Slow down and keep safe distance.
3.880,A car is close ahead on the left. Slow down and keep safe distance.
3.920,A car is close ahead. Slow down and keep safe distance.
3.960,A car is close ahead on the left. Slow down and keep safe distance.
4.000,A car is close ahead on the left. Slow down and keep safe distance.
4.040,A car is close ahead on the left. Slow down and keep safe distance.
4.080,A car is close ahead on the left. Slow down and keep safe distance.
4.120,A car is close ahead on the left. Slow down and keep safe distance.
4.160,A car is close ahead on the left. Slow down and keep safe distance.
4.200,A car is close ahead on the left. Slow down and keep safe distance.
4.240,A car is close ahead on the left. Slow down and keep safe distance.
4.280,A car is close ahead on the left. Slow down and keep safe distance.
4.320,A car is close ahead on the left. Slow down and keep safe distance.
4.360,A car is close ahead on the left. Slow down and keep safe distance.
4.400,A car is close ahead. Slow down and keep safe distance.
4.440,A car is close ahead. Slow down and keep safe distance.
4.480,A car is close ahead on the left. Slow down and keep safe distance.
4.520,A car is close ahead on the left. Slow down and keep safe distance.
4.560,A car is close ahead. Slow down and keep safe distance.
4.600,A car is close ahead on the left. Slow down and keep safe distance.
4.640,A car is close ahead on the left. Slow down and keep safe distance.
4.680,A car is close ahead. Slow down and keep safe distance.
4.720,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
4.760,A car is close ahead. Slow down and keep safe distance.
4.800,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
4.840,A car is close ahead on the left. Slow down and keep safe distance.
4.880,A car is close ahead on the left. Slow down and keep safe distance.
4.920,A car is close ahead on the left. Slow down and keep safe distance.
4.960,A car is close ahead on the left. Slow down and keep safe distance.
5.000,A car is close ahead on the left. Slow down and keep safe distance.
5.040,A car is close ahead on the left. Slow down and keep safe distance.
5.080,A car is close ahead on the left. Slow down and keep safe distance.
5.120,A car is close ahead on the left. Slow down and keep safe distance.
5.160,A car is close ahead on the left. Slow down and keep safe distance.
5.200,A car is close ahead on the left. Slow down and keep safe distance.
5.240,A car is close ahead on the left. Slow down and keep safe distance.
5.280,A car is close ahead on the left. Slow down and keep safe distance.
5.320,A car is close ahead on the left. Slow down and keep safe distance.
5.360,A car is close ahead on the left. Slow down and keep safe distance.
5.400,A car is close ahead on the left. Slow down and keep safe distance.
5.440,A car is close ahead on the left. Slow down and keep safe distance.
5.480,A car is close ahead on the left. Slow down and keep safe distance.
5.520,A car is close ahead on the left. Slow down and keep safe distance.
5.560,A car is close ahead on the left. Slow down and keep safe distance.
5.600,A car is close ahead. Slow down and keep safe distance.
5.640,A car is close ahead. Slow down and keep safe distance.
5.680,A car is close ahead. Slow down and keep safe distance.
5.720,A car is close ahead. Slow down and keep safe distance.
5.760,A car is close ahead. Slow down and keep safe distance.
5.800,A car is close ahead. Slow down and keep safe distance.
5.840,A car is close ahead. Slow down and keep safe distance.
5.880,A car is close ahead. Slow down and keep safe distance. (Moving to the left)
5.920,A car is close ahead on the left. Slow down and keep safe distance.
5.960,A car is close ahead on the left. Slow down and keep safe distance.
6.000,A car is close ahead on the left. Slow down and keep safe distance.
6.040,A car is close ahead on the left. Slow down and keep safe distance.
6.080,A car is close ahead on the left. Slow down and keep safe distance.
6.120,A car is close ahead on the left. Slow down and keep safe distance.
6.160,A car is close ahead on the left. Slow down and keep safe distance.
6.200,A car is close ahead on the left. Slow down and keep safe distance.
6.240,A car is close ahead on the left. Slow down and keep safe distance.
6.280,A car is close ahead on the left. Slow down and keep safe distance.
6.320,A car is close ahead on the left. Slow down and keep safe distance.
6.360,A car is close ahead on the left. Slow down and keep safe distance.
6.400,A car is close ahead on the left. Slow down and keep safe distance.
6.440,A car is close ahead on the left. Slow down and keep safe distance.
6.480,A car is close ahead on the left. Slow down and keep safe distance.
6.520,A car is close ahead on the left. Slow down and keep safe distance.
6.560,A car is close ahead on the left. Slow down and keep safe distance.
6.600,A car is close ahead on the left. Slow down and keep safe distance.
6.640,A car is close ahead on the left. Slow down and keep safe distance.
6.680,A car is close ahead on the left. Slow down and keep safe distance.
6.720,A car is close ahead on the left. Slow down and keep safe distance.
6.760,A car is close ahead on the left. Slow down and keep safe distance.
6.800,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
6.840,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
6.880,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
6.920,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
6.960,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.000,A car is close ahead on the left. Slow down and keep safe distance.
7.040,A car is close ahead on the left. Slow down and keep safe distance.
7.080,A car is close ahead on the left. Slow down and keep safe distance.
7.120,A car is close ahead on the left. Slow down and keep safe distance.
7.160,A car is close ahead on the left. Slow down and keep safe distance.
7.200,A car is close ahead on the left. Slow down and keep safe distance.
7.240,A car is close ahead on the left. Slow down and keep safe distance.
7.280,A car is close ahead on the left. Slow down and keep safe distance.
7.320,A car is close ahead on the left. Slow down and keep safe distance.
7.360,A car is close ahead on the left. Slow down and keep safe distance.
7.400,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.440,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.480,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.520,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.560,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.600,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.640,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.680,A car is close ahead on the left. Slow down and keep safe distance.
7.720,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.760,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.800,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.840,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.880,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.920,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
7.960,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.000,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.040,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.080,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.120,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.160,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.200,A car is close ahead on the left. Slow down and keep safe distance.
8.240,A car is close ahead on the left. Slow down and keep safe distance.
8.280,A car is close ahead on the left. Slow down and keep safe distance.
8.320,A car is close ahead on the left. Slow down and keep safe distance.
8.360,A car is close ahead on the left. Slow down and keep safe distance.
8.400,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.440,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.480,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.520,A car is close ahead on the left. Slow down and keep safe distance.
8.560,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.600,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.640,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
